"ref","article_id","study_id","participant_id","efN_id","dv_var","pct_female","age_mean","age_sd","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","humanN","humanMean","humanSD","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN.1","humanN.0","yi","vi"
"banks2021_s1",1,1,1,1,"good",51.2437810945274,46.5714285714286,17.1911887479348,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","-0.531890756102131",NA,-0.457305332755107,"responsible",208,4.08653846153846,2.50452952729708,194,4.31443298969072,2.3389244988987,NA,NA,NA,NA,0.0937607008039959,0.0099732656483919
"banks2021_s1",1,1,1,1,"good",51.2437810945274,46.5714285714286,17.1911887479348,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","0.224080021774401",NA,-0.457305332755107,"responsible",208,4.08653846153846,2.50452952729708,194,4.31443298969072,2.3389244988987,NA,NA,NA,NA,0.0937607008039959,0.0099732656483919
"banks2021_s1",1,1,1,1,"good",51.2437810945274,46.5714285714286,17.1911887479348,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","-0.531890756102131",NA,-0.457305332755107,"responsible",208,4.18557692307692,1.97099343593251,194,4.23092783505155,1.83830068099018,NA,NA,NA,NA,0.0237227112653377,0.0099630314419423
"banks2021_s1",1,1,1,1,"good",51.2437810945274,46.5714285714286,17.1911887479348,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","0.224080021774401",NA,-0.457305332755107,"responsible",208,4.18557692307692,1.97099343593251,194,4.23092783505155,1.83830068099018,NA,NA,NA,NA,0.0237227112653377,0.0099630314419423
"banks2021_s2",1,2,2,2,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","-0.291138833000664",-1.19775529505563,0.0623247184233873,"blame",34,0.264705882352941,2.66638813162098,58,0.344827586206897,2.43909477123897,NA,NA,NA,NA,0.0314684149012287,0.0466585258702293
"banks2021_s2",1,2,2,2,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","0.373219580422629",-1.19775529505563,0.0623247184233873,"blame",34,0.264705882352941,2.66638813162098,58,0.344827586206897,2.43909477123897,NA,NA,NA,NA,0.0314684149012287,0.0466585258702293
"banks2021_s2",1,2,2,2,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","-0.291138833000664",-1.19775529505563,-0.440506828156568,"praise",34,0.264705882352941,2.66638813162098,58,0.344827586206897,2.43909477123897,NA,NA,NA,NA,0.0314684149012287,0.0466585258702293
"banks2021_s2",1,2,2,2,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid","0.373219580422629",-1.19775529505563,-0.440506828156568,"praise",34,0.264705882352941,2.66638813162098,58,0.344827586206897,2.43909477123897,NA,NA,NA,NA,0.0314684149012287,0.0466585258702293
"banks2021_s2",1,2,2,2,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","-0.291138833000664",-1.19775529505563,0.0623247184233873,"blame",34,0.798529411764706,1.48081085967757,58,0.453448275862069,1.81051659946182,NA,NA,NA,NA,-0.201638369630979,0.0468741115820285
"banks2021_s2",1,2,2,2,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","0.373219580422629",-1.19775529505563,0.0623247184233873,"blame",34,0.798529411764706,1.48081085967757,58,0.453448275862069,1.81051659946182,NA,NA,NA,NA,-0.201638369630979,0.0468741115820285
"banks2021_s2",1,2,2,2,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","-0.291138833000664",-1.19775529505563,-0.440506828156568,"praise",34,0.798529411764706,1.48081085967757,58,0.453448275862069,1.81051659946182,NA,NA,NA,NA,-0.201638369630979,0.0468741115820285
"banks2021_s2",1,2,2,2,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid","0.373219580422629",-1.19775529505563,-0.440506828156568,"praise",34,0.798529411764706,1.48081085967757,58,0.453448275862069,1.81051659946182,NA,NA,NA,NA,-0.201638369630979,0.0468741115820285
"bigman2018_s3",2,3,3,3,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.660618046519466",-3.45395615704231,-0.659323890600048,"blame",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731
"bigman2018_s3",2,3,3,3,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.75312973904503",-3.45395615704231,-0.659323890600048,"blame",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731
"bigman2018_s3",2,3,3,3,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.688828272494684",-3.45395615704231,-0.659323890600048,"blame",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731
"bigman2018_s3",2,3,3,3,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.660618046519466",-3.45395615704231,-1.01925079229905,"punishment",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731
"bigman2018_s3",2,3,3,3,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.75312973904503",-3.45395615704231,-1.01925079229905,"punishment",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731
"bigman2018_s3",2,3,3,3,"moral",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","moral","sidee","action",59.5,"harm","implied","AI","AI","-0.688828272494684",-3.45395615704231,-1.01925079229905,"punishment",118,5.43220338983051,2.25880542348937,108,4.16666666666667,2.19387422432316,NA,NA,NA,NA,-0.56610395478109,0.0184428481136731
