"ref","article_id","study_id","efN_id","pct_female","age_mean","age_sd","dv_type","dv_var","aiN","aiMean","aiSD","humanN","humanMean","humanSD","aiN.1","aiN.0","humanN.1","humanN.0","RQ","harm","aiType_a","aiType_b","responsible","responsibleCat","dv_synonym","agent_intel","PMA","PMC","in_action","intent","yi","vi","yi_orig","participant_id"
"cassioli2023_s1",3,6,12,"64.7","24.6","3","continuous_inferential",NA,34,NA,NA,34,NA,NA,NA,NA,NA,NA,48,"harm","AI","AI",NA,NA,"moral","notImplied",NA,NA,NA,NA,-1.07896455542267,0.13560553633218,1.07896455542267,68
"hidalgo2021_s1",6,9,17,"–**","–","–","binary",NA,355,NA,NA,355,NA,NA,272,83,230,125,33,"harm","robot","mechanical",NA,NA,"wrong","implied",NA,NA,"action","sidee",0.318224770754728,0.00853301357545121,0.318224770754728,69
"hidalgo2021_s1",6,9,17,"–**","–","–","binary",NA,355,NA,NA,355,NA,NA,250,105,264,91,33,"harm","robot","mechanical",NA,NA,"wrong","implied",NA,NA,"inaction","sidee",-0.108936541064543,0.0086023810531582,-0.108936541064543,70
"hristova2015_s1",7,10,18,NA,NA,NA,"continuous","permissible",53,4.5,1.7,53,3.7,1.6,NA,NA,NA,NA,37,"harm","AI","AI","-0.0637517300683962","blame","permissible","implied",NA,NA,"action",NA,0.48112129545334,0.0388277250044278,0.48112129545334,71
"hristova2015_s1",7,10,18,NA,NA,NA,"continuous","permissible",53,4.5,1.9,53,3.7,1.6,NA,NA,NA,NA,37,"harm","robot","humanoid","-0.496384087307415","blame","permissible","implied",NA,NA,"action",NA,0.452178854424128,0.0387003099829638,0.452178854424128,72
"malle2016_s2",14,24,36,NA,NA,NA,"continuous_inferential",NA,232,NA,NA,232,NA,NA,NA,NA,NA,NA,47,"harm","NULL",NA,NA,NA,"wrong","implied",NA,NA,NA,"sidee",0.175145560984335,0.00865385329964328,0.175145560984335,73
"meder2019_s1",19,35,47,NA,NA,NA,"continuous_inferential",NA,436,NA,NA,436,NA,NA,NA,NA,NA,NA,49,"harm","AI","AI",NA,NA,"acceptable","notImplied",NA,NA,"action","sidee",0.290587916158496,0.00463565777291474,0.290587916158496,74
"shank2019_s1",20,36,48,NA,NA,NA,"continuous","justified + permissible",58,2.16,1.04,58,1.91,0.96,NA,NA,NA,NA,44,"notharm","AI","AI",NA,NA,NA,"notImplied",NA,NA,"action",NA,0.248152600575934,0.0347481884188474,0.248152600575934,75
"wilson2022_s1",23,45,51,NA,NA,NA,"continuous","wrong",51,2.4,1.44,50,2.13,1.26,NA,NA,NA,NA,54.5,"notharm","AI","AI","-0.630012282051101","responsible","wrong","notImplied",NA,NA,NA,NA,0.197908130209423,0.0398017422857846,0.197908130209423,76
"wilson2022_s1",23,45,51,NA,NA,NA,"continuous","justifiable",51,2.38,1.26,50,2.25,1.2,NA,NA,NA,NA,54.5,"notharm","AI","AI","-0.630012282051101","responsible","justifiable","notImplied",NA,NA,NA,NA,0.104831008065365,0.0396622468018688,0.104831008065365,76
"wilson2022_s1",23,45,51,NA,NA,NA,"continuous","permissible",51,2.42,1.33,50,2.27,1.33,NA,NA,NA,NA,54.5,"notharm","AI","AI","-0.630012282051101","responsible","permissible","notImplied",NA,NA,NA,NA,0.111925020802381,0.0396698590297381,0.111925020802381,76
"wilson2022_s2",23,46,51,NA,NA,NA,"continuous","wrong",159,4.95,1.211,154,4.85,0.989,NA,NA,NA,NA,57,"notharm","AI","AI","-1.16748449787395","responsible","wrong","notImplied",NA,NA,NA,NA,0.0900868556165383,0.0127957789532411,0.0900868556165383,79
"zhang2022_s1",25,50,51,NA,NA,NA,"continuous_inferential",NA,312,NA,NA,312,NA,NA,NA,NA,NA,NA,54,NA,"robot","mechanical",NA,NA,"wrong",NA,NA,NA,NA,NA,0.196292732260644,0.0505918700618217,0.196292732260644,80
"zhang2023_s1",26,51,51,NA,NA,NA,"continuous","moral",49,52.53,3.9,49,60.88,3.97,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"moral","notImplied",NA,NA,"action","sidee",-2.10527041460996,0.0634294057073062,-2.10527041460996,81
"zhang2023_s1",26,51,51,NA,NA,NA,"continuous","moral",49,53.74,4.1,49,62.49,3.97,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"moral","notImplied",NA,NA,"inaction","sidee",-2.15125304610275,0.0644280085120733,-2.15125304610275,81
"zhang2023_s1",26,51,51,NA,NA,NA,"continuous","permissible",49,58.04,3.89,49,61.14,3.97,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"permissible","notImplied",NA,NA,"action","sidee",-0.782582219667463,0.0439409945435697,-0.782582219667463,81
"zhang2023_s1",26,51,51,NA,NA,NA,"continuous","permissible",49,57.93,4.1,49,60,3.97,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"permissible","notImplied",NA,NA,"inaction","sidee",-0.508925006335165,0.0421377788881288,-0.508925006335165,81
"zhang2023_s1",26,51,51,NA,NA,NA,"continuous","wrong",49,49.69,3.98,49,56.37,4.06,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"wrong","notImplied",NA,NA,"action","sidee",-1.64858839464931,0.0546828759947572,-1.64858839464931,81
"zhang2023_s1",26,51,51,NA,NA,NA,"continuous","wrong",49,54.59,4.19,49,56.96,4.06,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"wrong","notImplied",NA,NA,"inaction","sidee",-0.569972377351199,0.0424738189333846,-0.569972377351199,81
"zhang2023_s2",26,52,51,NA,NA,NA,"continuous","moral",48,39.09,4.32,48,35.96,4.27,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"moral","notImplied",NA,NA,"action","meane",0.722909486802127,0.0443885319068152,0.722909486802127,87
"zhang2023_s2",26,52,51,NA,NA,NA,"continuous","moral",48,64.12,4.19,48,63.43,4.23,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"moral","notImplied",NA,NA,"inaction","sidee",0.162581904282686,0.041804337893751,0.162581904282686,87
"zhang2023_s2",26,52,51,NA,NA,NA,"continuous","permissible",48,34.43,4.03,48,40.9,3.99,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"permissible","notImplied",NA,NA,"action","meane",-1.60053294563976,0.0550088839066577,-1.60053294563976,87
"zhang2023_s2",26,52,51,NA,NA,NA,"continuous","permissible",48,67.38,3.91,48,59.39,3.95,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"permissible","notImplied",NA,NA,"inaction","sidee",2.01678088709366,0.0628510684715952,2.01678088709366,87
"zhang2023_s2",26,52,51,NA,NA,NA,"continuous","wrong",48,39.79,4.06,48,32.9,4.02,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"wrong","notImplied",NA,NA,"action","meane",1.69177517099874,0.0565734543187907,1.69177517099874,87
"zhang2023_s2",26,52,51,NA,NA,NA,"continuous","wrong",48,63.86,3.93,48,59.45,4.02,NA,NA,NA,NA,45,"harm","AI","AI",NA,NA,"wrong","notImplied",NA,NA,"inaction","sidee",1.10048401967069,0.0479742972789092,1.10048401967069,87
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","moral",59,45.66,3.5,59,48.74,3.42,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"moral","notImplied",NA,NA,"action","sidee",-0.88434437346713,0.0372121397071312,-0.88434437346713,93
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","moral",59,53.17,3.5,59,60.42,3.47,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"moral","notImplied",NA,NA,"inaction","sidee",-2.06684077296847,0.0519992829695123,-2.06684077296847,93
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","moral",59,37.36,3.71,59,33.87,3.62,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"moral","notImplied",NA,NA,"action","meane",0.946007398731526,0.0376903813493847,0.946007398731526,93
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","permissible",59,51.16,3.34,59,54.46,3.25,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"permissible","notImplied",NA,NA,"action","sidee",-0.994933015297839,0.0380927614615663,-0.994933015297839,93
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","permissible",59,48.9,3.34,59,62.81,3.31,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"permissible","notImplied",NA,NA,"inaction","sidee",-4.15629993212653,0.107096733583877,-4.15629993212653,93
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","permissible",59,40.9,3.56,59,38.18,3.47,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"permissible","notImplied",NA,NA,"action","meane",0.768747659517838,0.0364024278136193,0.768747659517838,93
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","wrong",59,52.69,3.55,59,46.97,3.46,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"wrong","notImplied",NA,NA,"action","sidee",1.62124270538493,0.0450357114820502,1.62124270538493,93
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","wrong",59,53.53,3.55,59,60.64,3.52,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"wrong","notImplied",NA,NA,"inaction","sidee",-1.99826044544723,0.050817986473894,-1.99826044544723,93
"zhang2023_s3",26,53,51,NA,NA,NA,"continuous","wrong",59,31.21,3.62,59,35.64,3.53,NA,NA,NA,NA,45.5,"harm","AI","AI",NA,NA,"wrong","notImplied",NA,NA,"action","meane",-1.2310313028634,0.0403196528331761,-1.2310313028634,93
