"ref","article_id","study_id","participant_id","efN_id","pct_female","age_mean","age_sd","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN","humanMean","humanSD","humanN.1","humanN.0","dv_var","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","yi","vi"
"banks2021_s1",1,1,1,1,51.2437810945274,46.5714285714286,17.1911887479348,194,4.31443298969072,2.3389244988987,NA,NA,208,4.08653846153846,2.50452952729708,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",-0.531890756102131,NA,-0.457305332755107,"responsible",0.0937607008039959,0.0099732656483919
"banks2021_s1",1,1,1,2,51.2437810945274,46.5714285714286,17.1911887479348,194,4.31443298969072,2.3389244988987,NA,NA,208,4.08653846153846,2.50452952729708,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",0.224080021774401,NA,-0.457305332755107,"responsible",0.0937607008039959,0.0099732656483919
"banks2021_s1",1,1,1,3,51.2437810945274,46.5714285714286,17.1911887479348,194,4.23092783505155,1.83830068099018,NA,NA,208,4.18557692307692,1.97099343593251,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",-0.531890756102131,NA,-0.457305332755107,"responsible",0.0237227112653377,0.0099630314419423
"banks2021_s1",1,1,1,4,51.2437810945274,46.5714285714286,17.1911887479348,194,4.23092783505155,1.83830068099018,NA,NA,208,4.18557692307692,1.97099343593251,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",0.224080021774401,NA,-0.457305332755107,"responsible",0.0237227112653377,0.0099630314419423
"banks2021_s2",1,2,2,5,51.0869565217391,41.5978260869565,15.566983787271,58,0.344827586206897,2.43909477123897,NA,NA,34,0.264705882352941,2.66638813162098,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",-0.291138833000664,-1.19775529505563,0.0623247184233873,"blame",0.0314684149012287,0.0466585258702293
"banks2021_s2",1,2,2,6,51.0869565217391,41.5978260869565,15.566983787271,58,0.344827586206897,2.43909477123897,NA,NA,34,0.264705882352941,2.66638813162098,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",0.373219580422629,-1.19775529505563,0.0623247184233873,"blame",0.0314684149012287,0.0466585258702293
"banks2021_s2",1,2,2,7,51.0869565217391,41.5978260869565,15.566983787271,58,0.344827586206897,2.43909477123897,NA,NA,34,0.264705882352941,2.66638813162098,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",-0.291138833000664,-1.19775529505563,-0.440506828156568,"praise",0.0314684149012287,0.0466585258702293
"banks2021_s2",1,2,2,8,51.0869565217391,41.5978260869565,15.566983787271,58,0.344827586206897,2.43909477123897,NA,NA,34,0.264705882352941,2.66638813162098,NA,NA,"good","continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",0.373219580422629,-1.19775529505563,-0.440506828156568,"praise",0.0314684149012287,0.0466585258702293
"banks2021_s2",1,2,2,9,51.0869565217391,41.5978260869565,15.566983787271,58,0.453448275862069,1.81051659946182,NA,NA,34,0.798529411764706,1.48081085967757,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",-0.291138833000664,-1.19775529505563,0.0623247184233873,"blame",-0.201638369630979,0.0468741115820285
"banks2021_s2",1,2,2,10,51.0869565217391,41.5978260869565,15.566983787271,58,0.453448275862069,1.81051659946182,NA,NA,34,0.798529411764706,1.48081085967757,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",0.373219580422629,-1.19775529505563,0.0623247184233873,"blame",-0.201638369630979,0.0468741115820285
"banks2021_s2",1,2,2,11,51.0869565217391,41.5978260869565,15.566983787271,58,0.453448275862069,1.81051659946182,NA,NA,34,0.798529411764706,1.48081085967757,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",-0.291138833000664,-1.19775529505563,-0.440506828156568,"praise",-0.201638369630979,0.0468741115820285
"banks2021_s2",1,2,2,12,51.0869565217391,41.5978260869565,15.566983787271,58,0.453448275862069,1.81051659946182,NA,NA,34,0.798529411764706,1.48081085967757,NA,NA,"good","continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",0.373219580422629,-1.19775529505563,-0.440506828156568,"praise",-0.201638369630979,0.0468741115820285
