"","X","ref","article_id","study_id","participant_id","efN_id","dv_var","pct_female","age_mean","age_sd","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","humanN","humanMean","humanSD","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN.1","humanN.0","yi","vi","yi_orig","og_participant_id","og_efN_id","apa_ref","study_num","dv_var_cap","apa_ref_display","study_display","slab_labels"
"1",1,"banks2021_s1",1,1,1,1,"good",51.2437810945274,46.5714285714286,17.1911887479348,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",-0.531890756102131,NA,-0.457305332755107,"responsible",208,4.08653846153846,2.50452952729708,194,4.31443298969072,2.3389244988987,NA,NA,NA,NA,0.0937607008039959,0.0099732656483919,NA,1,1,"Banks et al., (2021)","Study 1","Good","Banks et al., (2021)","Study 1","Banks et al., (2021) Study 1"
"2",2,"banks2021_s1",1,1,1,2,"good",51.2437810945274,46.5714285714286,17.1911887479348,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",0.224080021774401,NA,-0.457305332755107,"responsible",208,4.08653846153846,2.50452952729708,194,4.31443298969072,2.3389244988987,NA,NA,NA,NA,0.0937607008039959,0.0099732656483919,NA,1,1,"Banks et al., (2021)","Study 1","Good"," "," ","    "
"3",3,"banks2021_s1",1,1,1,3,"good",51.2437810945274,46.5714285714286,17.1911887479348,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",-0.531890756102131,NA,-0.457305332755107,"responsible",208,4.18557692307692,1.97099343593251,194,4.23092783505155,1.83830068099018,NA,NA,NA,NA,0.0237227112653377,0.0099630314419423,NA,1,1,"Banks et al., (2021)","Study 1","Good"," "," ","    "
"4",4,"banks2021_s1",1,1,1,4,"good",51.2437810945274,46.5714285714286,17.1911887479348,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",0.224080021774401,NA,-0.457305332755107,"responsible",208,4.18557692307692,1.97099343593251,194,4.23092783505155,1.83830068099018,NA,NA,NA,NA,0.0237227112653377,0.0099630314419423,NA,1,1,"Banks et al., (2021)","Study 1","Good"," "," ","    "
"5",5,"banks2021_s2",1,2,2,5,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",-0.291138833000664,-1.19775529505563,0.0623247184233873,"blame",34,0.264705882352941,2.66638813162098,58,0.344827586206897,2.43909477123897,NA,NA,NA,NA,0.0314684149012287,0.0466585258702293,NA,2,2,"Banks et al., (2021)","Study 2","Good"," ","Study 2","   Study 2"
"6",6,"banks2021_s2",1,2,2,6,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",0.373219580422629,-1.19775529505563,0.0623247184233873,"blame",34,0.264705882352941,2.66638813162098,58,0.344827586206897,2.43909477123897,NA,NA,NA,NA,0.0314684149012287,0.0466585258702293,NA,2,2,"Banks et al., (2021)","Study 2","Good"," "," ","    "
"7",7,"banks2021_s2",1,2,2,7,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",-0.291138833000664,-1.19775529505563,-0.440506828156568,"praise",34,0.264705882352941,2.66638813162098,58,0.344827586206897,2.43909477123897,NA,NA,NA,NA,0.0314684149012287,0.0466585258702293,NA,2,2,"Banks et al., (2021)","Study 2","Good"," "," ","    "
"8",8,"banks2021_s2",1,2,2,8,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"harm","notImplied","robot","humanoid",0.373219580422629,-1.19775529505563,-0.440506828156568,"praise",34,0.264705882352941,2.66638813162098,58,0.344827586206897,2.43909477123897,NA,NA,NA,NA,0.0314684149012287,0.0466585258702293,NA,2,2,"Banks et al., (2021)","Study 2","Good"," "," ","    "
"9",9,"banks2021_s2",1,2,2,9,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",-0.291138833000664,-1.19775529505563,0.0623247184233873,"blame",34,0.798529411764706,1.48081085967757,58,0.453448275862069,1.81051659946182,NA,NA,NA,NA,-0.201638369630979,0.0468741115820285,NA,2,2,"Banks et al., (2021)","Study 2","Good"," "," ","    "
"10",10,"banks2021_s2",1,2,2,10,"good",51.0869565217391,41.5978260869565,15.566983787271,"continuous","good",NA,NA,59.5,"notharm","notImplied","robot","humanoid",0.373219580422629,-1.19775529505563,0.0623247184233873,"blame",34,0.798529411764706,1.48081085967757,58,0.453448275862069,1.81051659946182,NA,NA,NA,NA,-0.201638369630979,0.0468741115820285,NA,2,2,"Banks et al., (2021)","Study 2","Good"," "," ","    "
